link,pojemnosc(MB),czas(s),transfer(MB/s),bledy
https://at2.automapa.pl/aAM/aAM_Polska_2309_6.1555.zip,,,,Blad: Zbyt dlugi czas pobierania pliku
https://at7.automapa.pl/aAM/aAM_Polska_2309_6.1555.zip,671.53MB,83s,8.02MB/s,WOLNY TRANSFER
https://at1.automapa.pl/aAM/aAM_Polska_2309_6.1555.zip,671.53MB,44s,15.09MB/s,Brak bledow
https://at3.automapa.pl/aAM/aAM_Polska_2309_6.1555.zip,671.53MB,48s,13.87MB/s,Brak bledow
https://at4.automapa.pl/aAM/aAM_Polska_2309_6.1555.zip,671.53MB,45s,14.86MB/s,Brak bledow
https://at5.automapa.pl/aAM/aAM_Polska_2309_6.1555.zip,671.53MB,64s,10.35MB/s,Brak bledow
https://at6.automapa.pl/aAM/aAM_Polska_2309_6.1555.zip,671.53MB,43s,15.31MB/s,Brak bledow
